ID,W,X4,S6_2
288,1.14379950761593,Klaipėdos apskritis,0
289,1.05552957323183,Telšių apskritis,0
290,0.990210758438075,Vilniaus apskritis,0
291,0.93394837480164,Utenos apskritis,0
292,0.999855983424275,Panevėžio apskritis,0
293,0.913452211291639,Telšių apskritis,0
294,0.913452211291639,Telšių apskritis,1
295,0.8135025457966,Kauno apskritis,0
296,0.803334240675515,Šiaulių apskritis,0
297,0.803334240675515,Šiaulių apskritis,0
298,1.06760679061456,Vilniaus apskritis,0
299,1.07800589767791,Panevėžio apskritis,1
300,0.900758704609963,Vilniaus apskritis,0
301,0.927225183734233,Kauno apskritis,0
302,0.927225183734233,Kauno apskritis,0
303,1.11505741690598,Utenos apskritis,0
304,1.15863978924657,Vilniaus apskritis,0
305,1.0116023321306,Utenos apskritis,0
306,1.054358411373,Marijampolės apskritis,0
307,1.054358411373,Marijampolės apskritis,0
308,0.881141928960267,Kauno apskritis,0
309,0.881141928960267,Kauno apskritis,0
310,0.881141928960267,Kauno apskritis,0
311,0.904866771208224,Alytaus apskritis,0
312,0.791457852168861,Tauragės apskritis,0
313,0.897023813147646,Klaipėdos apskritis,1
314,1.19035096864497,Kauno apskritis,0
315,1.13676829920425,Marijampolės apskritis,0
316,0.920217841005577,Utenos apskritis,0
317,1.0043201354411,Kauno apskritis,1
318,0.985156502444377,Panevėžio apskritis,1
319,0.985156502444377,Panevėžio apskritis,1
320,0.985156502444377,Panevėžio apskritis,1
321,0.902098777916622,Tauragės apskritis,1
322,1.02242220907293,Klaipėdos apskritis,0
323,0.57534137811397,Alytaus apskritis,0
324,0.578001377589774,Alytaus apskritis,0
325,0.623178641961812,Alytaus apskritis,0
326,0.52578682639419,Alytaus apskritis,0
327,0.52578682639419,Alytaus apskritis,0
328,0.937418393691219,Vilniaus apskritis,0
329,1.02815039332869,Vilniaus apskritis,1
330,1.02815039332869,Vilniaus apskritis,0
331,0.936652750889963,Telšių apskritis,0
332,1.08105440679706,Vilniaus apskritis,1
333,1.08105440679706,Vilniaus apskritis,0
334,1.08105440679706,Vilniaus apskritis,0
335,1.07389009400956,Kauno apskritis,1
336,1.05964066920723,Panevėžio apskritis,0
337,1.09897567186114,Kauno apskritis,0
338,1.04950618622216,Marijampolės apskritis,0
339,1.08198206430348,Šiaulių apskritis,0
340,1.17093962426804,Vilniaus apskritis,0
341,1.17093962426804,Vilniaus apskritis,0
342,1.17093962426804,Vilniaus apskritis,0
343,1.17093962426804,Vilniaus apskritis,0
344,1.16317962840586,Kauno apskritis,0
345,1.16317962840586,Kauno apskritis,0
346,1.14774542267193,Panevėžio apskritis,0
347,1.09067035475125,Utenos apskritis,1
348,1.09067035475125,Utenos apskritis,1
349,1.13676829920425,Marijampolės apskritis,0
350,1.16763764418256,Panevėžio apskritis,0
351,1.1754722790663,Šiaulių apskritis,1
352,1.06919508651977,Tauragės apskritis,0
353,0.912104695886083,Vilniaus apskritis,0
354,0.912104695886083,Vilniaus apskritis,0
355,0.90606003865589,Kauno apskritis,0
356,0.901734871095772,Klaipėdos apskritis,0
357,0.912887376907923,Šiaulių apskritis,0
358,0.894037547286201,Panevėžio apskritis,0
359,0.900758704609963,Vilniaus apskritis,0
360,0.90606003865589,Kauno apskritis,0
361,0.88548690500313,Marijampolės apskritis,1
362,0.83285067737171,Tauragės apskritis,0
363,0.83285067737171,Tauragės apskritis,0
364,0.830934246628486,Telšių apskritis,0
365,0.943937682027289,Klaipėdos apskritis,1
366,0.987942441359892,Vilniaus apskritis,1
367,0.987942441359892,Vilniaus apskritis,0
368,0.987942441359892,Vilniaus apskritis,1
369,0.981395195799032,Kauno apskritis,1
370,0.987942441359892,Vilniaus apskritis,0
371,0.920217841005577,Utenos apskritis,1
372,1.0043201354411,Kauno apskritis,0
373,0.981395195799032,Kauno apskritis,1
374,1.0043201354411,Kauno apskritis,0
375,1.0313615642923,Alytaus apskritis,0
376,0.959111490892123,Marijampolės apskritis,0
377,0.968373083832532,Panevėžio apskritis,1
378,0.900023003857243,Telšių apskritis,1
379,0.900023003857243,Telšių apskritis,0
380,1.02242220907293,Klaipėdos apskritis,0
381,0.949226151820517,Vilniaus apskritis,0
382,0.942935485028022,Kauno apskritis,0
383,0.942935485028022,Kauno apskritis,0
384,0.938434288863165,Klaipėdos apskritis,1
385,0.937418393691219,Vilniaus apskritis,0
386,0.884155598024468,Utenos apskritis,0
387,1.00686962736105,Telšių apskritis,0
388,1.02815039332869,Vilniaus apskritis,0
389,1.02815039332869,Vilniaus apskritis,0
390,1.02815039332869,Vilniaus apskritis,0
391,1.01646123145396,Klaipėdos apskritis,0
392,1.19712148322484,Vilniaus apskritis,0
393,1.01536086878632,Vilniaus apskritis,0
394,1.01536086878632,Vilniaus apskritis,0
395,0.938813006210784,Tauragės apskritis,1
396,1.02815039332869,Vilniaus apskritis,1
397,1.10522645923835,Vilniaus apskritis,0
398,1.09147815838954,Vilniaus apskritis,1
399,1.02946190341068,Utenos apskritis,0
400,1.10522645923835,Vilniaus apskritis,0
401,1.09790195456474,Kauno apskritis,0
402,1.14379950761593,Klaipėdos apskritis,0
403,1.19712148322484,Vilniaus apskritis,0
404,1.19712148322484,Vilniaus apskritis,1
405,1.18918797618158,Kauno apskritis,0
406,0.637112729570243,Alytaus apskritis,0
407,1.11505741690598,Utenos apskritis,0
409,1.07389009400956,Kauno apskritis,0
410,1.06876377301583,Klaipėdos apskritis,0
411,1.06876377301583,Klaipėdos apskritis,0
412,1.06760679061456,Vilniaus apskritis,0
413,1.08105440679706,Vilniaus apskritis,0
414,1.08105440679706,Vilniaus apskritis,0
415,1.00694687320348,Utenos apskritis,1
416,1.04950618622216,Marijampolės apskritis,0
417,1.0852391199476,Šiaulių apskritis,0
418,1.0852391199476,Šiaulių apskritis,0
419,0.984848705557495,Telšių apskritis,0
420,1.11878383643894,Klaipėdos apskritis,1
421,1.17093962426804,Vilniaus apskritis,1
422,1.17093962426804,Vilniaus apskritis,0
423,1.17093962426804,Vilniaus apskritis,0
424,1.16317962840586,Kauno apskritis,0
425,1.17194441267201,Šiaulių apskritis,0
426,1.14774542267193,Panevėžio apskritis,0
427,1.16317962840586,Kauno apskritis,0
428,1.19035096864497,Kauno apskritis,1
429,0.623178641961812,Alytaus apskritis,0
430,0.623178641961812,Alytaus apskritis,0
431,1.16763764418256,Panevėžio apskritis,0
432,1.06673481556126,Telšių apskritis,0
433,1.15762707495384,Klaipėdos apskritis,0
434,0.912104695886083,Vilniaus apskritis,1
435,0.912104695886083,Vilniaus apskritis,0
436,0.912104695886083,Vilniaus apskritis,0
437,0.794933270818493,Kauno apskritis,0
438,0.90606003865589,Kauno apskritis,0
439,0.912104695886083,Vilniaus apskritis,1
440,0.912104695886083,Vilniaus apskritis,0
441,0.927225183734233,Kauno apskritis,0
442,0.90606003865589,Kauno apskritis,0
443,0.485425682015497,Alytaus apskritis,0
444,0.88548690500313,Marijampolės apskritis,1
445,0.912887376907923,Šiaulių apskritis,1
446,0.915635412278839,Šiaulių apskritis,1
447,0.987942441359892,Vilniaus apskritis,0
448,0.987942441359892,Vilniaus apskritis,0
449,0.981395195799032,Kauno apskritis,0
450,0.981395195799032,Kauno apskritis,0
451,0.976710408386022,Klaipėdos apskritis,1
452,0.968373083832532,Panevėžio apskritis,1
453,0.975653077680991,Vilniaus apskritis,1
454,1.0043201354411,Kauno apskritis,0
455,1.0043201354411,Kauno apskritis,1
456,0.985156502444377,Panevėžio apskritis,0
457,0.991766722265957,Šiaulių apskritis,0
458,1.02242220907293,Klaipėdos apskritis,0
459,1.02242220907293,Klaipėdos apskritis,1
460,1.10522645923835,Vilniaus apskritis,0
461,1.10522645923835,Vilniaus apskritis,1
462,1.15963402310841,Šiaulių apskritis,0
463,1.07921368768814,Utenos apskritis,0
464,1.12482740810443,Marijampolės apskritis,0
465,1.00268349122351,Vilniaus apskritis,0
466,1.00268349122351,Vilniaus apskritis,0
467,0.991283865532491,Klaipėdos apskritis,1
469,1.00656483407283,Šiaulių apskritis,0
470,0.800236560819123,Vilniaus apskritis,0
471,0.800236560819123,Vilniaus apskritis,0
472,0.790282136640805,Vilniaus apskritis,0
473,0.776883398042032,Marijampolės apskritis,0
474,0.797979941320789,Panevėžio apskritis,0
475,0.730702916827274,Tauragės apskritis,1
476,1.08105440679706,Vilniaus apskritis,0
477,1.07389009400956,Kauno apskritis,0
478,1.06876377301583,Klaipėdos apskritis,1
479,1.00694687320348,Utenos apskritis,0
480,0.912104695886083,Vilniaus apskritis,0
481,0.901734871095772,Klaipėdos apskritis,0
482,0.533632070713123,Alytaus apskritis,0
483,0.42588902355336,Alytaus apskritis,0
484,0.42588902355336,Alytaus apskritis,0
485,0.57534137811397,Alytaus apskritis,0
486,0.57534137811397,Alytaus apskritis,0
487,0.637112729570243,Alytaus apskritis,0
488,0.52578682639419,Alytaus apskritis,1
489,0.578001377589774,Alytaus apskritis,0
490,1.07921368768814,Utenos apskritis,0
491,1.04675046916182,Alytaus apskritis,1
492,0.973422355290814,Marijampolės apskritis,0
493,0.913452211291639,Telšių apskritis,0
494,0.776883398042032,Marijampolės apskritis,0
495,0.776883398042032,Marijampolės apskritis,0
496,0.729021533150682,Telšių apskritis,0
497,1.11505741690598,Utenos apskritis,0
498,1.11505741690598,Utenos apskritis,0
499,1.11505741690598,Utenos apskritis,0
500,1.24973382445963,Alytaus apskritis,0
501,1.09310196811502,Tauragės apskritis,1
502,1.09058668623546,Telšių apskritis,0
503,1.16894585695324,Utenos apskritis,0
504,1.16894585695324,Utenos apskritis,1
505,1.16894585695324,Utenos apskritis,0
506,1.0116023321306,Utenos apskritis,0
507,1.1337834556303,Alytaus apskritis,0
508,1.1337834556303,Alytaus apskritis,0
509,1.12395635580166,Klaipėdos apskritis,0
510,0.904866771208224,Alytaus apskritis,1
511,0.84147805002582,Marijampolės apskritis,1
512,0.84147805002582,Marijampolės apskritis,1
513,0.789636668370765,Telšių apskritis,0
514,1.09067035475125,Utenos apskritis,0
515,1.13676829920425,Marijampolės apskritis,0
516,1.06673481556126,Telšių apskritis,0
517,0.959111490892123,Marijampolės apskritis,0
518,1.05552957323183,Telšių apskritis,0
519,0.835406190298127,Alytaus apskritis,0
520,0.776883398042032,Marijampolės apskritis,0
521,0.729021533150682,Telšių apskritis,1
522,1.00694687320348,Utenos apskritis,0
523,1.12856571132279,Alytaus apskritis,0
524,0.987120117939899,Tauragės apskritis,0
525,0.984848705557495,Telšių apskritis,0
526,0.830934246628486,Telšių apskritis,1
527,0.998146061271978,Marijampolės apskritis,0
528,1.24973382445963,Alytaus apskritis,0
529,1.09058668623546,Telšių apskritis,0
530,1.16894585695324,Utenos apskritis,0
531,1.21835217018771,Marijampolės apskritis,0
532,1.14329250601343,Telšių apskritis,1
533,0.991683911013296,Tauragės apskritis,0
534,0.991683911013296,Tauragės apskritis,0
535,0.991683911013296,Tauragės apskritis,0
536,0.807354642084502,Utenos apskritis,1
537,0.84147805002582,Marijampolės apskritis,0
538,0.789636668370765,Telšių apskritis,1
539,1.09067035475125,Utenos apskritis,1
540,1.13676829920425,Marijampolės apskritis,0
541,0.902098777916622,Tauragės apskritis,0
542,1.02946190341068,Utenos apskritis,0
543,1.07297282990939,Marijampolės apskritis,0
544,1.12482740810443,Marijampolės apskritis,0
545,0.835406190298127,Alytaus apskritis,0
546,0.776883398042032,Marijampolės apskritis,0
547,1.00694687320348,Utenos apskritis,0
548,1.00694687320348,Utenos apskritis,0
549,1.00694687320348,Utenos apskritis,0
550,1.00694687320348,Utenos apskritis,0
551,0.987120117939899,Tauragės apskritis,0
552,0.936652750889963,Telšių apskritis,1
553,1.18918797618158,Kauno apskritis,0
554,1.21835217018771,Marijampolės apskritis,0
555,1.14592934631206,Tauragės apskritis,0
556,1.14329250601343,Telšių apskritis,0
557,0.578001377589774,Alytaus apskritis,0
558,1.054358411373,Marijampolės apskritis,0
559,1.054358411373,Marijampolės apskritis,0
560,0.807354642084502,Utenos apskritis,1
561,0.807354642084502,Utenos apskritis,0
562,0.904866771208224,Alytaus apskritis,1
563,0.84147805002582,Marijampolės apskritis,0
564,0.791457852168861,Tauragės apskritis,1
565,1.09067035475125,Utenos apskritis,1
566,1.06673481556126,Telšių apskritis,0
567,1.04675046916182,Alytaus apskritis,0
568,0.637112729570243,Alytaus apskritis,0
569,0.66790308225545,Alytaus apskritis,1
570,0.578001377589774,Alytaus apskritis,1
571,0.623178641961812,Alytaus apskritis,1
572,1.09147815838954,Vilniaus apskritis,0
573,1.10522645923835,Vilniaus apskritis,0
574,1.1061748588885,Šiaulių apskritis,1
575,1.14379950761593,Klaipėdos apskritis,0
576,1.14422706118996,Vilniaus apskritis,0
577,1.07921368768814,Utenos apskritis,0
578,1.1778472321341,Kauno apskritis,0
579,1.05552957323183,Telšių apskritis,0
580,0.93394837480164,Utenos apskritis,1
581,0.973422355290814,Marijampolės apskritis,0
582,0.999855983424275,Panevėžio apskritis,0
583,1.00656483407283,Šiaulių apskritis,0
584,1.00656483407283,Šiaulių apskritis,0
585,0.915558957893177,Tauragės apskritis,0
586,0.915558957893177,Tauragės apskritis,0
587,0.913452211291639,Telšių apskritis,0
588,1.03767773017886,Klaipėdos apskritis,0
589,0.790282136640805,Vilniaus apskritis,0
590,0.800236560819123,Vilniaus apskritis,0
591,0.8135025457966,Kauno apskritis,0
592,0.794933270818493,Kauno apskritis,0
593,0.8135025457966,Kauno apskritis,0
594,0.8135025457966,Kauno apskritis,0
595,0.8135025457966,Kauno apskritis,0
596,0.803334240675515,Šiaulių apskritis,0
597,0.730702916827274,Tauragės apskritis,0
598,0.828165283766322,Klaipėdos apskritis,0
599,0.828165283766322,Klaipėdos apskritis,0
600,1.06760679061456,Vilniaus apskritis,0
601,1.06760679061456,Vilniaus apskritis,0
602,1.06760679061456,Vilniaus apskritis,0
603,1.09897567186114,Kauno apskritis,0
604,1.04950618622216,Marijampolės apskritis,0
605,1.07800589767791,Panevėžio apskritis,0
606,1.0852391199476,Šiaulių apskritis,0
607,1.0852391199476,Šiaulių apskritis,0
608,0.900758704609963,Vilniaus apskritis,0
609,0.952190822627828,Alytaus apskritis,0
610,0.909532614901491,Panevėžio apskritis,0
611,0.943937682027289,Klaipėdos apskritis,1
612,1.21696685944261,Kauno apskritis,0
613,1.19374567185456,Panevėžio apskritis,0
614,1.19374567185456,Panevėžio apskritis,1
615,1.20175548682553,Šiaulių apskritis,1
616,1.23936482445569,Vilniaus apskritis,0
617,1.31013089931277,Alytaus apskritis,0
618,1.21835217018771,Marijampolės apskritis,0
619,1.25143695402002,Panevėžio apskritis,0
620,1.25983386693528,Šiaulių apskritis,0
621,1.25983386693528,Šiaulių apskritis,1
622,1.25983386693528,Šiaulių apskritis,0
623,1.14592934631206,Tauragės apskritis,1
624,1.29877530308123,Klaipėdos apskritis,0
625,1.29877530308123,Klaipėdos apskritis,0
